index	label
1	rh_V1
2	rh_MST
3	rh_V6
4	rh_V2
5	rh_V3
6	rh_V4
7	rh_V8
8	rh_4
9	rh_3b
10	rh_FEF
11	rh_PEF
12	rh_55b
13	rh_V3A
14	rh_RSC
15	rh_POS2
16	rh_V7
17	rh_IPS1
18	rh_FFC
19	rh_V3B
20	rh_LO1
21	rh_LO2
22	rh_PIT
23	rh_MT
24	rh_A1
25	rh_PSL
26	rh_SFL
27	rh_PCV
28	rh_STV
29	rh_7Pm
30	rh_7m
31	rh_POS1
32	rh_23d
33	rh_v23ab
34	rh_d23ab
35	rh_31pv
36	rh_5m
37	rh_5mv
38	rh_23c
39	rh_5L
40	rh_24dd
41	rh_24dv
42	rh_7AL
43	rh_SCEF
44	rh_6ma
45	rh_7Am
46	rh_7Pl
47	rh_7PC
48	rh_LIPv
49	rh_VIP
50	rh_MIP
51	rh_1
52	rh_2
53	rh_3a
54	rh_6d
55	rh_6mp
56	rh_6v
57	rh_p24pr
58	rh_33pr
59	rh_a24pr
60	rh_p32pr
61	rh_a24
62	rh_d32
63	rh_8BM
64	rh_p32
65	rh_10r
66	rh_47m
67	rh_8Av
68	rh_8Ad
69	rh_9m
70	rh_8BL
71	rh_9p
72	rh_10d
73	rh_8C
74	rh_44
75	rh_45
76	rh_47l
77	rh_a47r
78	rh_6r
79	rh_IFJa
80	rh_IFJp
81	rh_IFSp
82	rh_IFSa
83	rh_p9-46v
84	rh_46
85	rh_a9-46v
86	rh_9-46d
87	rh_9a
88	rh_10v
89	rh_a10p
90	rh_10pp
91	rh_11l
92	rh_13l
93	rh_OFC
94	rh_47s
95	rh_LIPd
96	rh_6a
97	rh_i6-8
98	rh_s6-8
99	rh_43
100	rh_OP4
101	rh_OP1
102	rh_OP2-3
103	rh_52
104	rh_RI
105	rh_PFcm
106	rh_PoI2
107	rh_TA2
108	rh_FOP4
109	rh_MI
110	rh_Pir
111	rh_AVI
112	rh_AAIC
113	rh_FOP1
114	rh_FOP3
115	rh_FOP2
116	rh_PFt
117	rh_AIP
118	rh_EC
119	rh_PreS
120	rh_H
121	rh_ProS
122	rh_PeEc
123	rh_STGa
124	rh_PBelt
125	rh_A5
126	rh_PHA1
127	rh_PHA3
128	rh_STSda
129	rh_STSdp
130	rh_STSvp
131	rh_TGd
132	rh_TE1a
133	rh_TE1p
134	rh_TE2a
135	rh_TF
136	rh_TE2p
137	rh_PHT
138	rh_PH
139	rh_TPOJ1
140	rh_TPOJ2
141	rh_TPOJ3
142	rh_DVT
143	rh_PGp
144	rh_IP2
145	rh_IP1
146	rh_IP0
147	rh_PFop
148	rh_PF
149	rh_PFm
150	rh_PGi
151	rh_PGs
152	rh_V6A
153	rh_VMV1
154	rh_VMV3
155	rh_PHA2
156	rh_V4t
157	rh_FST
158	rh_V3CD
159	rh_LO3
160	rh_VMV2
161	rh_31pd
162	rh_31a
163	rh_VVC
164	rh_25
165	rh_s32
166	rh_pOFC
167	rh_PoI1
168	rh_Ig
169	rh_FOP5
170	rh_p10p
171	rh_p47r
172	rh_TGv
173	rh_MBelt
174	rh_LBelt
175	rh_A4
176	rh_STSva
177	rh_TE1m
178	rh_PI
179	rh_a32pr
180	rh_p24
181	lh_V1
182	lh_MST
183	lh_V6
184	lh_V2
185	lh_V3
186	lh_V4
187	lh_V8
188	lh_4
189	lh_3b
190	lh_FEF
191	lh_PEF
192	lh_55b
193	lh_V3A
194	lh_RSC
195	lh_POS2
196	lh_V7
197	lh_IPS1
198	lh_FFC
199	lh_V3B
200	lh_LO1
201	lh_LO2
202	lh_PIT
203	lh_MT
204	lh_A1
205	lh_PSL
206	lh_SFL
207	lh_PCV
208	lh_STV
209	lh_7Pm
210	lh_7m
211	lh_POS1
212	lh_23d
213	lh_v23ab
214	lh_d23ab
215	lh_31pv
216	lh_5m
217	lh_5mv
218	lh_23c
219	lh_5L
220	lh_24dd
221	lh_24dv
222	lh_7AL
223	lh_SCEF
224	lh_6ma
225	lh_7Am
226	lh_7Pl
227	lh_7PC
228	lh_LIPv
229	lh_VIP
230	lh_MIP
231	lh_1
232	lh_2
233	lh_3a
234	lh_6d
235	lh_6mp
236	lh_6v
237	lh_p24pr
238	lh_33pr
239	lh_a24pr
240	lh_p32pr
241	lh_a24
242	lh_d32
243	lh_8BM
244	lh_p32
245	lh_10r
246	lh_47m
247	lh_8Av
248	lh_8Ad
249	lh_9m
250	lh_8BL
251	lh_9p
252	lh_10d
253	lh_8C
254	lh_44
255	lh_45
256	lh_47l
257	lh_a47r
258	lh_6r
259	lh_IFJa
260	lh_IFJp
261	lh_IFSp
262	lh_IFSa
263	lh_p9-46v
264	lh_46
265	lh_a9-46v
266	lh_9-46d
267	lh_9a
268	lh_10v
269	lh_a10p
270	lh_10pp
271	lh_11l
272	lh_13l
273	lh_OFC
274	lh_47s
275	lh_LIPd
276	lh_6a
277	lh_i6-8
278	lh_s6-8
279	lh_43
280	lh_OP4
281	lh_OP1
282	lh_OP2-3
283	lh_52
284	lh_RI
285	lh_PFcm
286	lh_PoI2
287	lh_TA2
288	lh_FOP4
289	lh_MI
290	lh_Pir
291	lh_AVI
292	lh_AAIC
293	lh_FOP1
294	lh_FOP3
295	lh_FOP2
296	lh_PFt
297	lh_AIP
298	lh_EC
299	lh_PreS
300	lh_H
301	lh_ProS
302	lh_PeEc
303	lh_STGa
304	lh_PBelt
305	lh_A5
306	lh_PHA1
307	lh_PHA3
308	lh_STSda
309	lh_STSdp
310	lh_STSvp
311	lh_TGd
312	lh_TE1a
313	lh_TE1p
314	lh_TE2a
315	lh_TF
316	lh_TE2p
317	lh_PHT
318	lh_PH
319	lh_TPOJ1
320	lh_TPOJ2
321	lh_TPOJ3
322	lh_DVT
323	lh_PGp
324	lh_IP2
325	lh_IP1
326	lh_IP0
327	lh_PFop
328	lh_PF
329	lh_PFm
330	lh_PGi
331	lh_PGs
332	lh_V6A
333	lh_VMV1
334	lh_VMV3
335	lh_PHA2
336	lh_V4t
337	lh_FST
338	lh_V3CD
339	lh_LO3
340	lh_VMV2
341	lh_31pd
342	lh_31a
343	lh_VVC
344	lh_25
345	lh_s32
346	lh_pOFC
347	lh_PoI1
348	lh_Ig
349	lh_FOP5
350	lh_p10p
351	lh_p47r
352	lh_TGv
353	lh_MBelt
354	lh_LBelt
355	lh_A4
356	lh_STSva
357	lh_TE1m
358	lh_PI
359	lh_a32pr
360	lh_p24
402	rh_thal_AV
404	rh_thal_VA
405	rh_thal_VLa
406	rh_thal_VLp
407	rh_thal_VPL
408	rh_thal_PUL
409	rh_thal_LGN
410	rh_thal_MGN
411	rh_thal_CM
412	rh_thal_MD
420	rh_HIP_head_m
421	rh_HIP_head_l
422	rh_HIP_body
423	rh_HIP_tail
502	lh_thal_AV
504	lh_thal_VA
505	lh_thal_VLa
506	lh_thal_VLp
507	lh_thal_VPL
508	lh_thal_PUL
509	lh_thal_LGN
510	lh_thal_MGN
511	lh_thal_CM
