index,label
1,left_posterior_insula
2,right_posterior_insula
3,left_mid_insula
4,right_mid_insula
5,right_anterior_insula
6,left_anterior_insula
7,left_blAmygdala
8,right_blAmygdala
9,left_cmAmygdala
10,right_cmAmygdala
11,left_supAmygdala
12,right_supAmygdala
13,left_aTPJ
14,right_aTPJ
15,left_pTPJ
16,right_pTPJ
17,left_IFG_tri
18,right_IFG_tri
19,left_IFG_oper
20,right_IFG_oper
21,left_M1_trunk
22,right_m1_trunk
23,left_m1_arm
24,right_M1_arm
25,left_S1_trunk
26,right_S1_trunk
27,left_S1_arm
28,right_S1_arm
29,left_M1_upper_face
30,right_M1_upper_face
31,left_M1_lower_face
32,left_M1_mouth
33,right_M1_lower_face
34,right_M1_mouth
35,left_S1_upper_face
36,right_S1_upper_face
37,left_S1_lower_face
38,right_S1_lower_face
39,left_S1_mouth
40,right_s1_mouth
41,left_SMA
42,right_SMA
43,left_dorsal_premotor_cortex
44,right_dorsal_premotor_cortex
45,left_ventral_premotor_cortex
46,right_ventral_premotor_cortex
47,left_OP1
48,right_OP1
49,left_OP4
50,right_OP4
51,left_posterior_cingulate
52,right_posterior_cingulate
53,left_mid_cingulate
54,right_mid_cingulate
55,left_dACC
56,right_dACC
57,left_sgACC_pgACC
58,right_sgACC_pgACC
59,left_paracingulate
60,right_paracingulate
61,left_caudate
62,right_caudate
63,left_putamen
64,right_putamen
65,left_pallidum
66,right_pallidum
67,left_STN
68,right_STN
69,left_SN
70,right_SN
71,left_RN
72,right_RN
73,PAG
74,left_brainstem
75,right_brainstem
76,left_thalamus
77,right_thalamus
78,left_cerebellar_hemisphere
79,right_cerebellar_hemisphere
80,cerebellar_vermis
81,cerebellar_medullary_center
82,left_lateral_IOC
83,right_lateral_IOC
84,left_OFG
85,right_OFG
86,left_temporal_OFC
87,right_temporal_OFC
88,left_posterior_TFC
89,right_posterior_TFC
90,left_orbitofrontal_cortex
91,right_orbitofrontal_cortex
92,left_frontal_pole
93,right_frontal_pole
94,left_frontal_medial_cortex
95,right_frontal_medial_cortex
96,left_subcallosal_cortex
97,right_subcallosal_cortex
98,left_precuneus
99,right_precuneus
